Ride_ID,Date,City,Pickup_Area,Drop_Area,Customer_Age,Customer_Gender,Vehicle_Type,Ride_Distance_KM,Ride_Duration_Min,Fare_Amount,Surge_Multiplier,Payment_Mode,Driver_Rating,Ride_Status,Time_Of_Day
RID00102,2024-06-16 21:18,Ahmedabad,Chandkheda,Satellite,37,Female,Bike,24.88,100,246.99,1.0,Wallet,,No Show,Night
RID00103,2024-01-30 02:42,Surat,Dumas,Katargam,43,Female,Bike,18.44,114,386.93,1.5,Cash,4.3,Completed,Night
RID00104,2024-12-13 14:23,Ahmedabad,Bopal,Thaltej,41,Female,Bike,2.61,15,26.55,1.0,UPI,4.2,Completed,Morning
RID00105,2024-07-17 17:07,Surat,Althan,Katargam,34,Female,Bike,16.59,70,135.3,1.0,Wallet,4.0,Completed,Night
RID00106,2024-12-15 10:42,Surat,City Light,Udhna,40,Male,Auto,3.94,23,42.72,1.2,Card,5.0,Completed,Night
RID00107,2024-01-14 11:35,Rajkot,150 Feet Ring Road,Mavdi,54,Female,Auto,6.38,41,60.1,1.0,Wallet,,No Show,Evening
RID00108,2024-02-07 04:20,Surat,City Light,Vesu,22,Female,Auto,10.56,59,141.35,1.2,Wallet,4.6,Completed,Morning
RID00109,2024-03-23 10:59,Rajkot,150 Feet Ring Road,Aji Dam,32,Female,Bike,11.38,70,147.81,1.0,Card,3.6,Completed,Afternoon
RID00110,2024-10-24 04:10,Ahmedabad,Maninagar,Vastrapur,39,Male,Bike,16.0,85,176.25,1.0,UPI,4.2,Completed,Evening
RID00111,2024-11-24 09:30,Ahmedabad,Navrangpura,Gota,33,Female,Bike,11.0,59,176.01,1.2,Card,,No Show,Afternoon
RID00112,2024-06-12 23:55,Vadodara,Fatehgunj,Alkapuri,40,Female,Bike,10.97,53,127.69,1.0,Cash,,Cancelled,Afternoon
RID00113,2024-07-15 19:26,Rajkot,Pedak Road,Aji Dam,33,Male,Bike,6.8,26,77.42,1.2,Card,3.1,Completed,Morning
RID00114,2024-09-15 14:15,Rajkot,Mavdi,150 Feet Ring Road,31,Female,Auto,12.2,74,119.16,1.2,UPI,,No Show,Night
RID00115,2024-07-25 11:02,Ahmedabad,Maninagar,Thaltej,43,Male,Bike,13.88,83,146.63,1.2,Cash,4.5,Completed,Night
RID00116,2024-03-06 03:25,Rajkot,Pedak Road,Raiya Road,41,Female,Bike,13.1,75,169.67,1.0,Card,,Cancelled,Morning
RID00117,2024-09-22 14:09,Surat,Rander,City Light,50,Male,Auto,1.97,7,39.39,2.0,Card,,No Show,Night
RID00118,2024-08-31 00:23,Rajkot,150 Feet Ring Road,Kothariya,39,Male,Bike,9.07,54,148.83,1.5,Wallet,,No Show,Evening
RID00119,2024-03-16 21:15,Rajkot,Kalawad Road,Pedak Road,20,Male,Auto,14.86,84,242.58,1.5,Cash,,No Show,Evening
RID00120,2024-02-01 22:08,Ahmedabad,Prahlad Nagar,Gota,51,Male,Auto,10.91,44,207.01,1.5,Card,4.7,Completed,Night
RID00121,2024-04-08 07:17,Vadodara,Waghodia Road,Akota,53,Female,Bike,12.03,61,182.72,1.5,Cash,4.2,Completed,Evening
RID00122,2024-10-05 12:57,Rajkot,Raiya Road,Mavdi,43,Female,Bike,12.52,64,241.4,2.0,Cash,4.1,Completed,Night
RID00123,2024-05-18 17:44,Rajkot,Kalawad Road,University Road,35,Male,Bike,23.18,126,504.14,2.0,UPI,4.7,Completed,Morning
RID00124,2024-10-08 05:26,Surat,Rander,Adajan,48,Female,Bike,2.26,10,48.97,2.0,Cash,3.0,Completed,Afternoon
RID00125,2024-03-30 13:56,Rajkot,University Road,Raiya Road,29,Male,Bike,16.66,69,411.13,2.0,Wallet,4.8,Completed,Morning
RID00126,2024-03-09 16:29,Vadodara,Manjalpur,Vadsar,35,Male,Auto,8.16,43,79.21,1.0,UPI,4.8,Completed,Morning
RID00127,2024-11-23 12:52,Rajkot,150 Feet Ring Road,Pedak Road,45,Female,Bike,1.34,6,15.28,1.0,UPI,3.4,Completed,Evening
RID00128,2024-05-16 10:19,Vadodara,Fatehgunj,Gotri,55,Male,Auto,8.77,37,90.34,1.0,Card,,Cancelled,Afternoon
RID00129,2024-12-19 03:40,Rajkot,Mavdi,Kalawad Road,36,Female,Bike,8.36,39,169.77,1.5,Cash,,Cancelled,Morning
RID00130,2024-10-02 21:52,Surat,Athwa,Althan,31,Male,Auto,18.95,100,277.69,1.2,UPI,,Cancelled,Afternoon
RID00131,2024-03-25 10:54,Vadodara,Waghodia Road,Vadsar,51,Female,Bike,3.69,22,50.99,1.5,UPI,,No Show,Morning
RID00132,2024-10-15 01:35,Surat,City Light,Dumas,47,Female,Auto,11.69,42,129.52,1.0,UPI,,No Show,Morning
RID00133,2024-02-05 15:02,Vadodara,Sama,Alkapuri,36,Female,Bike,2.75,13,46.1,2.0,Cash,,No Show,Afternoon
RID00134,2024-11-30 11:07,Surat,Piplod,Katargam,29,Female,Bike,21.87,136,222.59,1.2,Cash,,Cancelled,Night
RID00135,2024-05-06 14:22,Surat,Adajan,Vesu,27,Female,Bike,17.16,88,264.5,1.5,Cash,,Cancelled,Evening
RID00136,2024-01-23 12:28,Ahmedabad,Navrangpura,Prahlad Nagar,32,Male,Bike,5.95,22,63.54,1.0,UPI,3.5,Completed,Morning
RID00137,2024-06-03 04:42,Surat,Althan,Udhna,51,Male,Bike,8.65,45,223.35,2.0,Wallet,,No Show,Afternoon
RID00138,2024-09-25 10:44,Rajkot,Raiya Road,Kalawad Road,44,Female,Auto,14.34,52,195.73,1.0,Cash,,Cancelled,Afternoon
RID00139,2024-10-14 13:26,Rajkot,Bhaktinagar,150 Feet Ring Road,53,Male,Auto,21.38,94,379.11,2.0,Wallet,4.8,Completed,Night
RID00140,2024-07-12 21:38,Surat,Udhna,Rander,20,Male,Bike,23.13,139,259.38,1.0,Cash,3.1,Completed,Evening
RID00141,2024-09-02 07:44,Surat,Dumas,Rander,31,Female,Bike,23.97,84,330.13,1.0,Cash,4.5,Completed,Evening
RID00142,2024-08-26 03:51,Rajkot,Raiya Road,Kothariya,48,Female,Auto,16.57,73,183.54,1.0,Cash,,No Show,Night
RID00143,2024-05-31 04:12,Rajkot,University Road,Kothariya,39,Male,Auto,21.74,124,207.94,1.0,Wallet,,No Show,Morning
RID00144,2024-06-29 05:08,Surat,Dumas,City Light,52,Female,Auto,19.32,95,457.89,2.0,Cash,3.9,Completed,Evening
RID00145,2024-09-15 14:23,Ahmedabad,Thaltej,Navrangpura,21,Female,Bike,19.34,91,363.15,2.0,Wallet,3.0,Completed,Morning
RID00146,2024-12-23 21:27,Ahmedabad,Navrangpura,Naranpura,29,Male,Bike,1.4,7,29.12,1.5,UPI,4.0,Completed,Night
RID00147,2024-12-22 07:19,Surat,Rander,Udhna,23,Male,Auto,7.42,34,102.07,1.0,UPI,4.1,Completed,Evening
RID00148,2024-06-18 18:54,Vadodara,Akota,Karelibaug,24,Male,Auto,16.28,91,179.07,1.0,Cash,4.3,Completed,Night
RID00149,2024-06-10 00:13,Surat,City Light,Dumas,55,Male,Bike,23.18,128,310.52,1.0,Wallet,3.4,Completed,Evening
RID00150,2024-12-18 23:05,Ahmedabad,Maninagar,Bopal,50,Female,Bike,21.03,98,315.15,1.5,UPI,,No Show,Afternoon
RID00151,2024-05-19 14:31,Ahmedabad,Chandkheda,Vastrapur,32,Female,Bike,15.52,82,241.65,1.5,Wallet,3.1,Completed,Morning
RID00152,2024-07-13 22:50,Vadodara,Manjalpur,Karelibaug,27,Female,Bike,8.09,34,68.7,1.0,Card,,No Show,Morning
RID00153,2024-10-12 17:32,Rajkot,Gondal Road,150 Feet Ring Road,44,Male,Bike,11.67,67,102.64,1.0,UPI,3.9,Completed,Morning
RID00154,2024-07-17 02:46,Ahmedabad,Gota,Naranpura,53,Male,Auto,15.35,68,148.72,1.2,Cash,,No Show,Morning
RID00155,2024-02-09 11:16,Vadodara,Manjalpur,Gotri,33,Female,Auto,7.44,29,78.92,1.0,Cash,3.6,Completed,Evening
RID00156,2024-08-08 20:38,Vadodara,Fatehgunj,Gotri,26,Female,Bike,23.77,106,366.51,1.5,Card,3.9,Completed,Evening
RID00157,2024-06-15 12:17,Surat,Dumas,Katargam,43,Female,Bike,24.25,106,572.17,2.0,UPI,,Cancelled,Afternoon
RID00158,2024-12-20 02:52,Surat,City Light,Althan,44,Female,Bike,1.65,9,30.55,2.0,Cash,,No Show,Afternoon
RID00159,2024-09-30 16:59,Rajkot,Mavdi,University Road,44,Male,Auto,19.94,74,325.28,1.5,Card,,Cancelled,Afternoon
RID00160,2024-06-18 13:06,Ahmedabad,Satellite,Maninagar,18,Male,Auto,16.53,60,398.86,2.0,Card,4.9,Completed,Evening
RID00161,2024-06-25 00:30,Surat,Althan,City Light,24,Female,Bike,9.98,48,230.17,2.0,Wallet,,Cancelled,Afternoon
RID00162,2024-12-22 14:20,Ahmedabad,Satellite,Vastrapur,22,Female,Auto,9.23,54,150.88,1.5,UPI,3.2,Completed,Evening
RID00163,2024-08-06 14:14,Ahmedabad,Navrangpura,Chandkheda,43,Male,Bike,23.32,133,316.45,1.5,Cash,3.7,Completed,Morning
RID00164,2024-12-26 02:36,Vadodara,Akota,Alkapuri,24,Male,Bike,15.21,70,282.56,2.0,Card,,Cancelled,Afternoon
RID00165,2024-10-27 03:22,Rajkot,Mavdi,Pedak Road,40,Female,Auto,17.1,84,337.91,2.0,Cash,4.2,Completed,Morning
RID00166,2024-08-02 19:08,Rajkot,Aji Dam,Gondal Road,54,Female,Bike,3.83,16,39.22,1.0,Wallet,4.0,Completed,Afternoon
RID00167,2024-11-13 01:55,Surat,Dumas,City Light,40,Male,Auto,5.0,21,49.44,1.0,Wallet,,No Show,Afternoon
RID00168,2024-10-16 00:50,Surat,Rander,Dumas,32,Female,Bike,17.43,82,228.66,1.2,UPI,,Cancelled,Night
RID00169,2024-05-17 17:52,Rajkot,Mavdi,Aji Dam,41,Male,Bike,19.74,102,267.64,1.2,Wallet,4.1,Completed,Evening
RID00170,2024-03-01 07:13,Surat,Piplod,Vesu,55,Female,Bike,22.0,79,222.01,1.0,Wallet,3.9,Completed,Afternoon
RID00171,2024-12-26 09:18,Surat,City Light,Athwa,54,Female,Bike,20.33,105,295.39,1.5,UPI,3.6,Completed,Afternoon
RID00172,2024-12-12 12:31,Surat,Piplod,Adajan,27,Female,Bike,17.83,69,218.75,1.0,Wallet,4.5,Completed,Evening
RID00173,2024-06-16 18:00,Vadodara,Karelibaug,Fatehgunj,23,Female,Auto,13.37,57,143.44,1.0,Card,,Cancelled,Morning
RID00174,2024-10-07 18:08,Ahmedabad,Thaltej,Chandkheda,54,Female,Bike,20.8,103,269.78,1.0,Card,,Cancelled,Afternoon
RID00175,2024-12-18 04:56,Ahmedabad,Navrangpura,Bopal,37,Male,Auto,3.98,24,51.29,1.2,Card,3.4,Completed,Night
RID00176,2024-04-29 13:41,Ahmedabad,Gota,Maninagar,23,Male,Bike,16.95,92,175.91,1.0,UPI,4.5,Completed,Morning
RID00177,2024-03-02 13:44,Surat,Dumas,Vesu,26,Female,Bike,6.43,35,51.75,1.0,UPI,,No Show,Afternoon
RID00178,2024-12-12 04:04,Surat,Piplod,Vesu,51,Male,Bike,8.52,52,87.72,1.0,Cash,4.3,Completed,Morning
RID00179,2024-03-12 03:37,Vadodara,Vadsar,Gotri,42,Female,Bike,15.79,76,134.53,1.0,Wallet,,Cancelled,Afternoon
RID00180,2024-12-03 09:13,Rajkot,150 Feet Ring Road,Raiya Road,51,Male,Bike,6.96,36,162.11,2.0,Wallet,4.7,Completed,Evening
RID00181,2024-07-03 10:08,Rajkot,Kalawad Road,Raiya Road,42,Female,Bike,3.71,18,46.89,1.5,Card,,Cancelled,Night
RID00182,2024-09-16 09:40,Surat,Dumas,Vesu,50,Female,Auto,2.62,11,35.46,1.0,Wallet,,No Show,Morning
RID00183,2024-07-19 18:40,Vadodara,Fatehgunj,Harni,22,Female,Bike,3.01,11,41.68,1.0,Wallet,4.1,Completed,Afternoon
RID00184,2024-03-02 00:45,Surat,Adajan,Udhna,26,Male,Bike,3.78,20,37.25,1.0,Cash,,Cancelled,Morning
RID00185,2024-01-16 10:51,Vadodara,Vadsar,Harni,45,Female,Bike,9.92,57,122.98,1.0,UPI,4.5,Completed,Evening
RID00186,2024-05-10 03:57,Rajkot,Aji Dam,Gondal Road,54,Male,Bike,13.26,48,179.04,1.5,Cash,,Cancelled,Night
RID00187,2024-12-01 13:14,Ahmedabad,Navrangpura,Satellite,38,Male,Bike,12.32,57,111.79,1.0,Wallet,4.1,Completed,Afternoon
RID00188,2024-02-05 14:55,Rajkot,Raiya Road,Gondal Road,36,Female,Bike,13.05,80,121.88,1.0,Card,4.9,Completed,Evening
RID00189,2024-10-29 15:49,Ahmedabad,Thaltej,Prahlad Nagar,30,Male,Bike,5.82,30,72.39,1.0,Cash,3.9,Completed,Morning
